id,name,capital_city
ABW,Aruba,Oranjestad
AFE,Africa Eastern and Southern,
AFG,Afghanistan,Kabul
AFR,Africa,
AFW,Africa Western and Central,
AGO,Angola,Luanda
ALB,Albania,Tirane
AND,Andorra,Andorra la Vella
ARB,Arab World,
ARE,United Arab Emirates,Abu Dhabi
ARG,Argentina,Buenos Aires
ARM,Armenia,Yerevan
ASM,American Samoa,Pago Pago
ATG,Antigua and Barbuda,Saint John's
AUS,Australia,Canberra
AUT,Austria,Vienna
AZE,Azerbaijan,Baku
BDI,Burundi,Bujumbura
BEA,East Asia & Pacific (IBRD-only countries),
BEC,Europe & Central Asia (IBRD-only countries),
BEL,Belgium,Brussels
BEN,Benin,Porto-Novo
BFA,Burkina Faso,Ouagadougou
BGD,Bangladesh,Dhaka
BGR,Bulgaria,Sofia
BHI,IBRD countries classified as high income,
BHR,Bahrain,Manama
BHS,"Bahamas, The",Nassau
BIH,Bosnia and Herzegovina,Sarajevo
BLA,Latin America & the Caribbean (IBRD-only countries),
BLR,Belarus,Minsk
BLZ,Belize,Belmopan
BMN,Middle East & North Africa (IBRD-only countries),
BMU,Bermuda,Hamilton
BOL,Bolivia,La Paz
BRA,Brazil,Brasilia
BRB,Barbados,Bridgetown
BRN,Brunei Darussalam,Bandar Seri Begawan
BSS,Sub-Saharan Africa (IBRD-only countries),
BTN,Bhutan,Thimphu
BWA,Botswana,Gaborone
CAA,Sub-Saharan Africa (IFC classification),
CAF,Central African Republic,Bangui
CAN,Canada,Ottawa
CEA,East Asia and the Pacific (IFC classification),
CEB,Central Europe and the Baltics,
CEU,Europe and Central Asia (IFC classification),
CHE,Switzerland,Bern
CHI,Channel Islands,
CHL,Chile,Santiago
CHN,China,Beijing
CIV,Cote d'Ivoire,Yamoussoukro
CLA,Latin America and the Caribbean (IFC classification),
CME,Middle East and North Africa (IFC classification),
CMR,Cameroon,Yaounde
COD,"Congo, Dem. Rep.",Kinshasa
COG,"Congo, Rep.",Brazzaville
COL,Colombia,Bogota
COM,Comoros,Moroni
CPV,Cabo Verde,Praia
CRI,Costa Rica,San Jose
CSA,South Asia (IFC classification),
CSS,Caribbean small states,
CUB,Cuba,Havana
CUW,Curacao,Willemstad
CYM,Cayman Islands,George Town
CYP,Cyprus,Nicosia
CZE,Czechia,Prague
DEA,East Asia & Pacific (IDA-eligible countries),
DEC,Europe & Central Asia (IDA-eligible countries),
DEU,Germany,Berlin
DJI,Djibouti,Djibouti
DLA,Latin America & the Caribbean (IDA-eligible countries),
DMA,Dominica,Roseau
DMN,Middle East & North Africa (IDA-eligible countries),
DNK,Denmark,Copenhagen
DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations ,
DOM,Dominican Republic,Santo Domingo
DSA,South Asia (IDA-eligible countries),
DSF,IDA countries in Sub-Saharan Africa classified as fragile situations ,
DSS,Sub-Saharan Africa (IDA-eligible countries),
DZA,Algeria,Algiers
EAP,East Asia & Pacific (excluding high income),
EAR,Early-demographic dividend,
EAS,East Asia & Pacific,
ECA,Europe & Central Asia (excluding high income),
ECS,Europe & Central Asia,
ECU,Ecuador,Quito
EGY,"Egypt, Arab Rep.",Cairo
EMU,Euro area,
ERI,Eritrea,Asmara
ESP,Spain,Madrid
EST,Estonia,Tallinn
ETH,Ethiopia,Addis Ababa
EUU,European Union,
FCS,Fragile and conflict affected situations,
FIN,Finland,Helsinki
FJI,Fiji,Suva
FRA,France,Paris
FRO,Faroe Islands,Torshavn
